date,company,stock price,sentiment result,prediction
2014-08-14,NVIDIA,0.4699999988079071,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4741021653935423
2014-08-15,NVIDIA,0.47600001096725464,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.46952663397663513
2014-08-18,NVIDIA,0.48249998688697815,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4749264053974195
2014-08-19,NVIDIA,0.484250009059906,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4829230976031853
2014-08-20,NVIDIA,0.48124998807907104,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.47958172991393677
2014-08-21,NVIDIA,0.476749986410141,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.48129693751596586
2014-08-22,NVIDIA,0.47699999809265137,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.47693362854561955
2014-08-25,NVIDIA,0.4777500033378601,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4748255007040668
2014-08-26,NVIDIA,0.48637500405311584,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.47865688754217245
2014-08-27,NVIDIA,0.4807499945163727,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.48241455291333174
2014-08-28,NVIDIA,0.48475000262260437,"[[], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.15710315108299255}, {'label': 'neutral', 'score': 0.164828360080719}, {'label': 'negative', 'score': 0.6780685186386108}]], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4784964133810243
2014-08-29,NVIDIA,0.48625001311302185,"[[], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.8317849636077881}, {'label': 'neutral', 'score': 0.07798123359680176}, {'label': 'negative', 'score': 0.09023377299308777}]], [], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.2150767594575882}, {'label': 'neutral', 'score': 0.08176586776971817}, {'label': 'negative', 'score': 0.703157365322113}]], [], [], []]",0.48474957674159946
2014-09-02,NVIDIA,0.4873749911785126,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.48638920923997453
2014-09-03,NVIDIA,0.492125004529953,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4865495343570084
2014-09-04,NVIDIA,0.5007500052452087,"[[], [], [], [], [], [[{'label': 'positive', 'score': 0.23728962242603302}, {'label': 'neutral', 'score': 0.22229133546352386}, {'label': 'negative', 'score': 0.5404190421104431}]], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4893986862083138
2014-09-05,NVIDIA,0.49924999475479126,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.49874857197177097
2014-09-08,NVIDIA,0.4947499930858612,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.49801263393837125
2014-09-09,NVIDIA,0.4884999990463257,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4943398253186251
2014-09-10,NVIDIA,0.49024999141693115,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.48755847025638854
2014-09-11,NVIDIA,0.48524999618530273,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.48993068777609317
2014-09-12,NVIDIA,0.4779999852180481,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4842872487266615
2014-09-15,NVIDIA,0.4715000092983246,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.5788596272468567}, {'label': 'neutral', 'score': 0.1536056250333786}, {'label': 'negative', 'score': 0.26753470301628113}]], [], [], [], [], [], [], [], []]",0.4771165434199665
2014-09-16,NVIDIA,0.47837498784065247,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.47123916483578204
2014-09-17,NVIDIA,0.47874999046325684,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.47699684378642304
2014-09-18,NVIDIA,0.4860000014305115,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4798940216892869
2014-09-19,NVIDIA,0.47699999809265137,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4859746542240634
2014-09-22,NVIDIA,0.4722500145435333,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.475248033391189
2014-09-23,NVIDIA,0.4702500104904175,"[[], [], [], [[{'label': 'positive', 'score': 0.22465650737285614}, {'label': 'neutral', 'score': 0.4145243465900421}, {'label': 'negative', 'score': 0.3608191907405853}]], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.5596045851707458}, {'label': 'neutral', 'score': 0.1911114603281021}, {'label': 'negative', 'score': 0.24928389489650726}]], [], [], [], [], [], []]",0.4715507799924242
2014-09-24,NVIDIA,0.4729999899864197,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4697698257263784
2014-09-25,NVIDIA,0.46274998784065247,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.4717688236140451
