date,company,stock price,sentiment result,prediction
2014-08-14,IBM,179.61758422851562,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",179.63472167856332
2014-08-15,IBM,179.1395721435547,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",179.42520377729284
2014-08-18,IBM,181.03250122070312,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.7075182795524597}, {'label': 'neutral', 'score': 0.11710415035486221}, {'label': 'negative', 'score': 0.1753775179386139}]], [], [], [], [], []]",179.01669538785492
2014-08-19,IBM,181.71128845214844,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",180.91006284663294
2014-08-20,IBM,181.73995971679688,"[[], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.08442142605781555}, {'label': 'neutral', 'score': 0.09269047528505325}, {'label': 'negative', 'score': 0.8228880763053894}]], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",181.3717764470194
2014-08-21,IBM,182.8202667236328,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",181.55753696904432
2014-08-22,IBM,182.0363311767578,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",183.01094247376975
2014-08-25,IBM,182.7533416748047,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",181.987740149674
2014-08-26,IBM,184.50286865234375,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.4809640347957611}, {'label': 'neutral', 'score': 0.1935240924358368}, {'label': 'negative', 'score': 0.3255119025707245}]], [], [], []]",182.61000568927668
2014-08-27,IBM,183.79541015625,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",184.64568871015754
2014-08-28,IBM,183.55641174316406,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",183.80593576275135
2014-08-29,IBM,183.8432159423828,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.2150767594575882}, {'label': 'neutral', 'score': 0.08176586776971817}, {'label': 'negative', 'score': 0.703157365322113}]], [], [], []]",183.65795111938306
2014-09-02,IBM,183.13575744628906,"[[], [], [], [[{'label': 'positive', 'score': 0.5286745429039001}, {'label': 'neutral', 'score': 0.20160357654094696}, {'label': 'negative', 'score': 0.2697218656539917}]], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",183.95582227239115
2014-09-03,IBM,183.50860595703125,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.38611936569213867}, {'label': 'neutral', 'score': 0.2253265380859375}, {'label': 'negative', 'score': 0.38855409622192383}]], [], [], [], [], [], [], [], []]",183.2678407088393
2014-09-04,IBM,182.29444885253906,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",183.64505423878728
2014-09-05,IBM,182.7915802001953,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",182.42961541531974
2014-09-08,IBM,181.7781982421875,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.40048742294311523}, {'label': 'neutral', 'score': 0.20458032190799713}, {'label': 'negative', 'score': 0.39493227005004883}]], [], [[{'label': 'positive', 'score': 0.536946713924408}, {'label': 'neutral', 'score': 0.14357192814350128}, {'label': 'negative', 'score': 0.31948134303092957}]], []]",182.90699205554392
2014-09-09,IBM,181.63479614257812,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",181.80678333339225
2014-09-10,IBM,183.11663818359375,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",181.6688181286049
2014-09-11,IBM,183.28871154785156,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",183.10906874197337
